primarySlug,longitude,latitude,postalCode
nigiri-roll,4.361143,50.83762,1050
my-shawarma,4.3527734,50.8491525,1000
dolphin-77-sprl,4.3897934,50.845184,1000
snack-evere,4.3996881,50.8712543,1140
bh45-bruxelles,4.3772546,50.8510945,1210
yummy-ixelles,4.3798149,50.8177881,1050
snack-araff,4.3659068,50.864184,1030
tradinatura,4.3673353,50.833332,1050
le-panier-de-meiser-schaerbeek,4.3968463,50.85504,1030
otacos-woluwe-saint-lambert,4.4068038,50.8425615,1200
kihap-fried-chicken,4.3530934,50.8484942,1000
erics-burger-streetfood,4.3642117,50.8577828,1210
latypiq,4.4006295,50.840458,1040
afro-caraibes-le-colibri-mechant,4.3657589,50.836367,1050
caffe-batavia,4.3535433,50.85347,1000
le-palais-des-delices-saint-josse-ten-noode,4.3748979,50.8494719,1210
la-maison-de-gourmands,4.366536,50.8358074,1050
cherry-flower-woluwe-saint-lambert,4.417668,50.8468,1200
cereales,4.3682885,50.835994,1050
snack-boniface,4.3656511,50.8361915,1050
friterie-dailly-bruxelles,4.3882698,50.8529716,1030
creppuccino,4.383235,50.8368218,1040
le-sacre-pain,4.3734093,50.830837,1050
fattouch-bxl,4.389904,50.8379864,1040
the-foodmaker-brussel,4.3687277,50.8405409,1000
snack-marmara-1,4.3882244,50.8536962,1030
space-food,4.3940895,50.8349235,1040
peach-pit-1000,4.3756397,50.8683464,1030
la-maison-daladdin-saint-josse,4.3739292,50.8543889,1210
chick-cheez-docks,4.3729577,50.8788106,1000
latlas-schaerbeek-1,4.375363,50.857014,1030
duo-bruxelles,4.3651372,50.8490682,1000
muss-kebab-schaerbeek,4.3650969,50.8620966,1030
domenica-cucina-popolare,4.3734047,50.8398777,1050
gustoso-pizza-bxl,4.3941336,50.8349224,1040
wicos,4.31284,50.821342,1070
pinsamore-2,4.3677597,50.849285,1000
les-4-saisons-bxl,4.3891574,50.8302584,1040
donburi-express,4.361143,50.8376184,1050
sushi-aiko-k,4.4074136,50.8267923,1150
nithis-kitchen,4.3747506,50.828033,1050
maison-du-kumpir,4.3711537,50.849558,1210
pinsamore,4.3678089,50.849405,1000
le-petit-flagey,4.3747505,50.8280325,1050
bieres-et-tout-le-bazar,4.3547442,50.8453083,1000
