restaurant_name,menu_item_name,price,description
Huzur Kebab,Pizza hot shoarma,16.0,"Shoarma, jalapenos, ui en paprika."
Huzur Kebab,Pizza Huzur,19.0,Specialiteit van de chef.
Huzur Kebab,Pizza familie pizza,23.0,Alle soorten pizzas
Huzur Kebab,Pizza frutti di mare,17.0,Zeevruchten.
Huzur Kebab,Pizza scampis,17.0,Scampis
Huzur Kebab,Calzone mix,12.0,"Champignons, paprika, ui, hesp en artisjok. Gevulde pizzas.. "
Huzur Kebab,Calzone classic,12.0,"Champignons, olijven, ui en gehakt. Gevulde pizzas."
Huzur Kebab,Calzone Margherita,9.0,Gevulde pizzas.
Huzur Kebab,Calzone Bolognese,10.0,Gehakt vlees. Gevulde pizzas.
Huzur Kebab,Calzone salami,10.0,Salami. Gevulde pizzas.
Huzur Kebab,Calzone prosciutto,10.0,Hesp. Gevulde pizzas.
Huzur Kebab,Calzone tonno,11.0,Tonijn en ui. Gevulde pizzas.
Huzur Kebab,Calzone HawaÃ¯,11.0,Ananas en hesp. Gevulde pizzas.
Huzur Kebab,Calzone kip,13.0,"Kip, champignons, paprika en ui. Gevulde pizzas."
Huzur Kebab,Calzone kebab,13.0,"Kebab, champignons, paprika en ui. Gevulde pizzas."
Huzur Kebab,Calzone quattro,13.0,"Champignons, paprika, salami en hesp. Gevulde pizzas."
Huzur Kebab,Calzone special,14.0,"Kebab, kip, champignons, paprika en ui. Gevulde pizzas."
Harry's,Pizza Baguette Bellâ€™italia ,4.9,
Harry's,Pizza Baguette Funghi ,4.9,
Harry's,Pizza Baguette Tuna ,4.9,
Huzur Kebab,Kinder pizza,7.0,
Porto Fino,Pizza vegetarisch,9.0,"Tomaat, mozzarella, champignons, artisjok, paprika, ui."
Porto Fino,Pizza 4 seizoenen ,9.0,"Tomaat, mozzarella, ham, artisjok, paprika, champignons."
Porto Fino,Pizza 4 kazen,9.5,"Tomaat, mozzarella, gorgonzola, fontina."
Porto Fino,Pizza 6 kazen,10.0,"Tomaat, mozzarella, gorgonzola, geitenkaas, fontina, gruyÃ¨re, parmezaan."
Porto Fino,Pizza Vesuvio,9.5,"Tomaat, mozzarella, ham, salami, gorgonzola."
Porto Fino,Pizza baltica,9.5,"Tomaat, mozzarella, tonijn, ui, room, zwarte olijven."
Porto Fino,Pizza Romana,9.5,"Tomaat, mozzarella, ui, parmaham."
Porto Fino,Pizza orientale,9.5,"Tomaat, mozzarella, champignons, merguez."
Porto Fino,Pizza rapido,9.5,"Tomaat, mozzarella, ham, ui, ei."
Porto Fino,Pizza parmigiano,10.0,"Tomaat, mozzarella, aubergine, look, parmezaan."
Porto Fino,Pizza merguez,10.0,"Tomaat, mozzarella, salami, merguez, champignons, ei."
Porto Fino,Pizza calzone,9.0,"Tomaat, mozzarella, ham, champignons, ei."
Porto Fino,Pizza bolognaise,9.5,"Tomaat, mozzarella, bolognaise saus, gruyÃ¨re."
Porto Fino,Pizza scampi,12.0,"Tomaat, mozzarella, scampi, look, room."
Porto Fino,Pizza bbq-grill,11.5,"Tomaat, mozzarella, bbq saus, kip, merguez , spek."
Porto Fino,Pizza cannibale,11.5,"Tomaat, mozzarella, bbq saus, merguez, kip, gehakt van kip."
Porto Fino,Pizza chicken grill,11.0,"Tomaat, mozzarella, bbq saus, kip, ui, verse tomaat."
Porto Fino,Pizza double steak,11.0,"Tomaat, mozzarella, bbq saus, kippengehakt, ui, verse tomaat."
Porto Fino,Pizza chicken,11.0,"Tomaat, mozzarella, kip, paprika, gruyÃ¨re."
Porto Fino,Pizza tex mex,11.0,"Tomaat, mozzarella, merguez, kip gehakt, ui, paprika, piment."
Porto Fino,Pizza carpaccio,10.0,"Tomaat, mozzarella, carpaccio, raket, parmezan."
