restaurant_id,menu_item_name,price,description,platform,restaurant_id_platform_unique
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza zeevruchten,9.5,"Met tonijn, calamares, mosselen, garnalen, ansjovis en look.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza bbq,16.0,"Met barbacuesaus, kip, uien, champignons en paprika.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza di rami,16.0,"Met barbacuesaus, kip, gehakt, champignons, paprika, uien en testo.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza di ham,18.0,"Met merguez, uien, champignons, paprika, spaanse peper en pesto.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza soso,18.0,"Met ham, gehakt, champigonos, paprika, spaanse peper en pesto.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.",ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
9df49930-379a-40e4-97af-c9ca35fe8b84,Pizza naar eigen keuze,16.0,extra ingrefients.  Geserveerd met tomatensaus mozzarellakaas en italiaanse kruiden.,ubereats,ubereats_9df49930-379a-40e4-97af-c9ca35fe8b84
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza hot â€˜n spicy,22.5,"Kruidig rundvlees, chilipepers, ui, tomatenblokjes, mozzarella en tomatensaus/ Viande de bÅ“uf Ã©picÃ©e, piments verts, oignons, tomates en dÃ©s, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza pepper,22.5,"Dubbele portie rundsvlees, tomatenblokjes, rode uit, pepersaus, tomatensaus en mozzarella/ Viande de bÅ“uf ""double portion"", tomates en dÃ©s, oignons rouges, sauce au poivre, sauce tomate, mozzarella",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza sweet chicken curry,22.5,"Gegrilde kip, ananas, tomatenblokjes, zachte currysaus, mozzarella en tomatensaus/ Poulet grillÃ©, ananas, tomates en dÃ©s, sauce curry, douce, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza barbecue chicken,22.5,"Gegrilde kip, champignons, groene paprika, ui, mozzarella en barbecuesaus/ Poulet grillÃ©, champignons, poivrons verts, oignons, mozzarella, sauce barbecue",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza barbecue,22.5,"Rundvlees ""dubbel"", gerookte baconreepjes, ui, mozzarella en barbecuesaus/ Viande de bÅ“uf ""double portion"", bacon fumÃ©, oignons, mozzarella, sauce barbecue",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza chicken twist,22.5,"Kip kebab ""halal"", ui, tomatenblokjes, looksaus, mozzarella en tomatensaus/ Poulet kebab ""Halal"", oignons, tomates en dÃ©s, sauce Ã  lâ€™ail, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
